Price,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
Ticker,SPXU,SPXU,,,,,,,,,,
Date,,,,,,,,,,,,
2020-01-02,487.25,302044,,,,,,,,,,
2020-01-03,498.0,393624,,,,,,,,,,
2020-01-06,492.5,290656,,,,,,,,,,
2020-01-07,497.25,212728,,,,,,,,,,
2020-01-08,489.25,467020,,,,,,,,,,
2020-01-09,479.75,398584,,,,,,,,,,
2020-01-10,483.75,337348,,,,,,,,,,
2020-01-13,473.75,255068,,,,,,,,,,
2020-01-14,476.25,339456,,,,,,,,,,
2020-01-15,473.25,305260,485.1,,,,,,,,,
2020-01-16,462.25,251144,482.6,,,,,,,,,
2020-01-17,456.5,171828,478.45,,,,,,,,,
2020-01-21,460.0,230420,475.2,,,,,,,,,
2020-01-22,459.25,175880,471.4,,,,,,,,,
2020-01-23,457.75,285636,468.25,,31.67701863354037,,,,,,10.017857142857142,
2020-01-24,470.75,450244,467.35,,41.798941798941804,,,,,,10.838010204081632,
2020-01-27,493.0,643388,468.275,,54.28276319996066,,,,,,11.921009475218657,
2020-01-28,478.0,496780,468.7,,46.968518951973934,,,,,,12.444508798417326,
2020-01-29,479.25,280512,469.0,,47.60213265404759,,,,,,12.25204388424466,
2020-01-30,474.5,739248,469.125,477.1125,45.383150908542056,,,502.97486406440726,477.1125,451.25013593559277,12.769755035370041,
2020-01-31,500.25,741028,472.925,477.7625,57.067019536834806,,,505.2158581734551,477.7625,450.3091418265449,14.03620110427218,
2020-02-03,489.75,552208,476.25,477.35,52.16643452715307,,,503.80439471996976,477.35,450.8956052800303,14.46218673968131,
2020-02-04,467.25,573812,476.975,476.0875,43.53837961777239,,,501.9323616750029,476.0875,450.2426383249971,15.339887686846932,
2020-02-05,451.0,477120,476.15,473.775,38.57595459391527,,,499.90682925093563,473.775,447.6431707490643,15.458467137786437,
2020-02-06,447.0,262288,475.075,471.6625,37.444591259018836,,,499.23978911622686,471.6625,444.0852108837732,14.765005199373121,
2020-02-07,453.75,311476,473.375,470.3625,40.60998208522798,,,498.73214707217977,470.3625,441.99285292782025,14.371076256560755,
2020-02-10,443.75,230160,468.45,468.3625,37.57638188283672,,,498.27298102254406,468.3625,438.45201897745596,14.380285095377843,
2020-02-11,441.5,235540,464.8,466.75,36.90831949784821,,,498.73046278589476,466.75,434.76953721410524,14.013836159993712,14.980315932719282
2020-02-12,433.25,260716,460.2,464.6,34.487200609362006,,,499.3945398015251,464.6,429.8054601984749,13.67356214856559,15.740598097295358
2020-02-13,434.75,269048,456.225,462.675,35.31800209471105,,,499.54066831077256,462.675,425.80933168922746,13.393307709382333,16.120833035598164
2020-02-14,433.0,291772,449.5,461.2125,34.764099293363316,,,500.2843168889056,461.2125,422.14068311109435,12.88307144442645,16.47390833545077
2020-02-18,436.25,288704,444.15,460.2,36.74809637861786,,,500.73011226236684,460.2,419.66988773763313,12.623566341253133,16.401146138936273
2020-02-19,429.75,188472,440.4,458.6875,34.48892731258238,,,501.336906502319,458.6875,416.038093497681,12.364740174020767,16.86483506378405
2020-02-20,435.5,477420,438.85,457.5,38.113438234101,-12.17727993405407,-9.015033291012218,501.32693235899643,457.5,413.67306764100357,12.838687304447856,15.89710403107438
2020-02-21,449.0,418720,439.05,457.0625,45.70828275873859,-10.930480352995005,-9.398122703408776,501.0451315151793,457.0625,413.0798684848207,13.135923925558723,14.897728528200876
2020-02-24,493.75,930572,443.05,458.2125,62.24742721914415,-6.259278625920274,-8.770353887911075,504.6980555522369,458.2125,411.72694444776306,15.751215073733102,16.483486353290658
2020-02-25,538.5,1111460,452.525,460.4875,71.57331786443523,1.0416261873253916,-6.807957872863781,516.9444470924524,460.4875,404.03055290754764,18.87612828275217,19.178547381335022
2020-02-26,544.25,977380,462.8,463.8,72.51289461350365,7.20852738075348,-4.004660822140329,530.7730542830474,463.8,396.8269457169526,20.25997626255559,21.794795960633596
2020-02-27,618.5,1371008,481.325,470.7625,81.1685935399634,17.881073587789672,0.37248605984567185,565.7896638795987,470.7625,375.73533612040126,24.152120815230187,25.242888800305654
2020-02-28,628.5,1538248,500.7,478.4625,81.9911167147045,26.83670296837022,5.665329441550582,595.7929388255665,478.4625,361.13206117443343,27.837683614142318,29.02619915363739
2020-03-02,544.25,1236068,511.825,480.6625,58.72042975343912,26.82659262018268,9.897582077277,601.1520508955027,480.6625,360.1729491044973,32.58142049884644,29.487911195870428
2020-03-03,591.75,1062204,527.375,485.7625,64.78831780122479,30.30212904117326,13.978491470056252,615.6288230980228,485.7625,355.89617690197707,36.43274760607169,29.209067874845914
2020-03-04,516.25,1059784,536.025,488.2125,51.763682243540174,26.657012230938847,16.51419562223277,618.4377159721766,488.2125,357.9872840278233,39.22326563420943,28.85834554631634
2020-03-05,568.5,880376,549.325,494.0875,58.04910046829934,27.66545903510348,18.744448304806912,627.6270330042755,494.0875,360.5479669957244,41.04660380319448,28.67548517783797
2020-03-06,596.0,1267460,564.025,501.5375,60.93436726712624,30.334008992382223,21.062360442321975,640.2623423138406,501.5375,362.81265768615947,43.09684638868059,29.39600179891874
2020-03-09,737.5,974148,588.4,515.725,71.71437207144136,43.3668158364909,25.52325152115576,686.3660633464292,515.725,345.08393665357085,50.48278593234626,31.15442839549774
2020-03-10,625.5,973392,597.1,524.8125,58.058074128865776,44.149022727613215,29.248405762447252,698.4848117684563,524.8125,351.1401882315437,55.43044408003582,31.472681120365745
2020-03-11,716.25,833212,614.3,538.55,64.0343187827607,51.49805635766495,33.69833588149079,726.5624065055283,538.55,350.5375934944716,59.59612664574755,31.768201507743182
2020-03-12,924.75,1325172,644.925,563.125,73.40903623201865,73.30145243411391,41.61895919201542,809.1847742419513,563.125,317.0652257580486,70.32140331390845,33.5564487587773
2020-03-13,672.75,1268360,649.35,575.025,54.81260833924422,69.44597696769517,47.18436274715137,818.1020916808084,575.025,331.9479083191916,83.47701736291499,33.32992822214337
2020-03-16,892.5,1097620,684.175,598.0,63.49671232993912,83.16381269095461,54.380252735912016,868.3681286690428,598.0,327.63187133095727,95.53223040842106,33.25723444065353
2020-03-17,755.25,1069176,700.525,613.95,56.22842906022465,82.01495107594747,59.907192403919105,881.8944252079149,613.95,346.0055747920852,103.97635680781956,32.28819775500365
2020-03-18,841.75,1052396,733.075,634.55,59.383920751591056,87.08048740520462,65.34185140417621,906.0079433356118,634.55,363.09205666438805,111.08518846440388,31.70993064699877
2020-03-19,841.75,1025132,760.4,654.8625,59.383920751591056,90.0568422226545,70.28484956787187,924.4941225426837,654.8625,385.23087745731624,114.48981785980361,30.787839045420643
2020-03-20,958.25,1158640,796.625,680.325,63.494579693348506,100.65590263834713,76.35906018196692,963.2397884080995,680.325,397.4102115919007,118.16911658410335,30.178632906475205
2020-03-23,1038.25,1153580,826.7,707.55,66.0365691608386,114.19470036986309,83.92618821954616,1016.9623300710562,707.55,398.13766992894375,119.58560825666738,30.703210988136984
2020-03-24,749.75,1503672,839.125,718.1125,51.979647167586194,100.48641140885854,87.23823285740863,1017.9963306327975,718.1125,418.2286693672025,131.9009219526197,28.71649678008698
2020-03-25,716.5,1685660,839.15,726.725,50.64168331198534,85.94873303304178,86.98033289253526,1015.8417540977167,726.725,437.60824590228333,133.17585609886117,27.434533690617823
2020-03-26,590.25,1939060,805.7,725.3125,45.8190769926355,63.50811626528741,82.28588956708569,1016.7967566503377,725.3125,433.82824334966233,133.68115209179967,26.629294642891573
2020-03-27,638.25,1548028,802.25,725.8,47.85238270804218,49.03175707385276,75.63506306843911,1016.6669197416584,725.8,434.9330802583415,128.81106979952827,25.881572670002907
2020-03-30,577.75,1297384,770.775,727.475,45.532954502358244,32.304902925875695,66.96903103992642,1014.5011704095987,727.475,440.4488295904014,124.30670767099055,25.329024833412536
2020-03-31,603.0,1353168,755.55,728.0375,46.69424836119217,20.845915739558905,57.744407979852916,1014.0397847373772,728.0375,442.03521526262284,118.76694283734837,24.870560123359564
2020-04-01,682.75,1801500,739.65,736.3625,50.29862919011451,17.99233984441537,49.79399435276541,1006.4726384157958,736.3625,466.2523615842041,117.14073263468062,23.474933116639885
2020-04-02,636.75,2044880,719.15,739.775,48.2711515097238,11.88207565483674,42.21161061317967,1002.9515044604107,739.775,476.59849553958935,113.57710887506057,22.338567405383362
2020-04-03,663.5,1644184,689.675,743.15,49.54481978797877,9.093326495994916,35.58795378974272,1000.5322740594236,743.15,485.7677259405764,109.8037439554134,21.322616740039816
2020-04-06,529.5,1787256,638.8,732.75,43.73552327424158,-3.8846772779808134,27.69342757619801,1006.4941780202823,732.75,459.0058219797177,112.65704795859816,21.374924576455374
2020-04-07,526.75,2387460,616.5,727.8125,43.62247909293891,-14.227732345591676,19.309195591840073,1012.461488888069,727.8125,443.16351111193103,108.94940167584114,21.76717100666368
2020-04-08,473.25,1939244,592.175,715.6625,41.38155833946537,-26.43693238607773,10.159969996256512,1021.2246571382811,715.6625,410.1003428617189,105.50658727042392,22.152535714385294
2020-04-09,451.0,2403704,578.25,691.975,40.450868604551545,-37.47619814559164,0.6327363678868814,1002.4417011130179,691.975,381.5082988869821,100.61325960825079,22.74457856533598
2020-04-13,464.75,1789740,560.9,681.575,41.329038717932235,-44.601250257511765,-8.414060957192847,1007.4726104545716,681.575,355.6773895454284,95.85516963623287,23.010953793561907
2020-04-14,422.5,1874416,545.375,658.075,39.40605807237511,-53.045650057363446,-17.340378777226967,987.5083809740595,658.075,328.6416190259406,92.31194323364481,23.571332248821168
