Price,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,VOO,VOO,VOO,VOO,VOO,,,,,,
Date,,,,,,,,,,,
2024-01-02,428.37689208984375,429.62051777181244,426.7482837295201,428.27818398899336,9076000,,,,,,
2024-01-03,425.1986999511719,427.38000749072324,424.665700283796,426.7088405741666,4805000,,,,,,
2024-01-04,423.8563232421875,427.16284885542535,423.6391774673082,424.7446359134272,3945300,,,,,,
2024-01-05,424.39923095703125,426.68909640988767,423.0766266480972,424.01427837172577,5723100,,,,,,
2024-01-08,430.4693908691406,430.6075581194278,424.7841413622301,424.86311989509534,7222400,,,,,,
2024-01-09,429.4231872558594,430.7655212123669,427.53797373517153,427.9919949120506,7939600,,,,,,
2024-01-10,432.2558898925781,433.04549448093536,429.82782716796964,430.11404151139567,4278800,,,,,,
2024-01-11,432.10784912109375,433.65744890145936,428.36703181477844,433.2429170290249,4796600,,,,,,
2024-01-12,432.3052062988281,434.09171143687826,431.06158064321056,433.41066471336933,5180800,,,,,,
2024-01-16,430.8345642089844,432.2953657858897,429.09739802255456,431.12080866504004,5730800,,,,,,
2024-01-17,428.4361267089844,428.8408088523406,426.20545005782003,427.97222572723297,6044600,,,,,,0.013827687775513908
2024-01-18,432.2460021972656,432.7000534427367,428.5249447069336,429.9264973440417,4331300,,,,,,1.6574138742435185
2024-01-19,437.5364685058594,437.8522922764895,432.621093969829,433.30214074655265,4832700,,,,,,3.227543040771197
2024-01-22,438.5333251953125,440.13232417805943,437.92137712460544,438.9972261717331,5870400,,,,-9.375160294311783,,3.330376967556825
2024-01-23,439.8361511230469,440.033567307873,438.0200366842738,439.05639635090887,3251600,,,,-1.7365050857185043,58.312071466005165,2.175941066330922
2024-01-24,440.201416015625,443.35989476099365,439.9645406522423,442.5011914472458,4568200,,,,-15.571843392241309,64.7019879666642,2.50993171296634
2024-01-25,442.6788024902344,442.9354375218567,440.31980846012414,442.3234894816642,4167100,,,,-3.357902025296551,70.12594895236585,2.4112829556230064
2024-01-26,442.4123229980469,443.67570835713354,441.3562035630923,442.28400548070886,6404000,91.46089734481158,91.89254808432298,,-6.687562548027412,78.00328610345865,2.3846995369124713
2024-01-29,445.6300354003906,445.74847308334427,441.89909777991966,442.4123679013669,4543300,96.44949993181625,93.67388236962525,,-0.6060356312273413,77.24695949899845,3.0822735667799916
2024-01-30,445.314208984375,445.9458866635518,444.5936729220228,444.988475236694,3410000,96.50216145096488,94.80418624253092,129.6196609721128,-3.1999174678506237,75.78553219393555,3.360836380891441
2024-01-31,438.0596008300781,443.63626260769433,437.9905021414288,443.2118508713956,7108000,85.41471369190647,92.78879169156254,61.26947835076963,-39.94990582520263,66.60946967196382,2.2461864257377506
2024-02-01,443.8237609863281,443.8237609863281,438.87877731277734,439.5697038971538,6138400,82.03334370226189,87.98340628171108,78.08687377942596,-10.750145600161101,73.89814190275891,2.6785114796223697
2024-02-02,448.3838195800781,449.96305892579784,443.853397603825,444.169251497266,6251600,80.88421645610822,82.77742461675886,123.79656868561626,-6.647299206311644,74.35336085753278,2.4791878746156515
2024-02-05,446.7453308105469,448.25547136591445,444.6923408866976,447.84093951545134,7101900,89.68618847370173,84.20124954402395,105.38392596018127,-13.543989772422114,72.75022630165412,1.8726069704228188
2024-02-06,448.1370544433594,448.3936894912791,446.34066935089066,447.6928830329576,4383600,90.43038329906734,87.0002627429591,108.93414584299069,-8.51756112406421,80.30527421324926,1.8872717258728189
2024-02-07,451.81866455078125,452.2331964311395,449.36096220271634,450.229545352114,6763400,91.94159855105697,90.68605677460869,139.1274332353695,-2.113653450342799,81.00827692471235,2.639075685014136
2024-02-08,452.1246337890625,452.3812387193931,451.0981237032854,451.867998737247,4184600,95.86472795313301,92.74556993441911,133.6959078833061,-1.7746015661939694,80.88365957768899,2.1337889335770743
2024-02-09,454.69085693359375,455.0461699412011,452.2233050869349,452.58849794080317,4002600,98.00949674834895,95.27194108417966,144.34965667265203,-2.0832547384164335,80.43278671527787,2.7753598390614975
2024-02-12,454.4836120605469,456.7340183932099,453.78283569121163,454.63165916371827,4564200,94.7119416013071,96.19538876759636,139.44719133996776,-12.00631889146834,80.81911068819967,1.9867549215351943
2024-02-13,448.07781982421875,449.7853765987665,445.1463669346677,448.58121005541426,8152200,79.90935471523073,90.87693102162893,49.395776195444526,-46.18236222442309,71.14099404265838,0.6205979472666545
2024-02-14,452.341796875,452.71686962000365,448.50227128392044,450.6539695224837,5624000,72.792678075349,82.47132479729561,85.47898373549721,-23.433284658061623,71.71193136096524,3.2603317032336543
2024-02-15,455.4015197753906,455.5495668640734,452.4799166584629,452.9438176173243,5695700,74.42507849675967,75.7090370957798,119.60953284610744,-7.109117627236364,71.51339539852736,2.6086387901658847
2024-02-16,453.0721435546875,456.1516435424518,452.45031564918054,455.095524087749,5526200,83.3069475893037,76.84156805380412,102.38353858665744,-19.53675494679094,64.82328919837951,1.0456050753571144
2024-02-20,450.5848693847656,452.1147395569473,448.5318492785329,451.50279148807465,5306800,80.18244048573855,79.30482219060065,46.41491634983942,-32.80680596875712,59.08055045271203,0.8594468278498857
2024-02-21,451.03887939453125,451.1869264847245,447.7126242417621,449.410301159439,4223100,71.92008792175427,78.4698253322655,33.67442255588941,-31.896175319189176,61.14758860562737,0.6475306878553688
2024-02-22,460.5143127441406,461.2644280872191,456.3194742452258,457.20778696187546,4328500,76.99624738802319,76.36625859850533,163.56355960043584,-4.308276547984206,60.32606543526307,1.9245880871267218
2024-02-23,460.7215881347656,462.78445808315024,460.04054134301595,462.0145830300618,4050600,84.1311702826104,77.68250186412928,169.8189936770675,-11.402037284995515,59.2226902510818,1.9014567451580255
2024-02-26,459.03375244140625,461.52103391481785,458.9054349230686,461.12623163480566,3450800,87.67496047726858,82.93412604930073,134.86742930724643,-21.264804735214643,62.172513060958764,0.9551314792429988
2024-02-27,459.8825988769531,460.0701352406138,457.88882768404187,459.6654530938452,3586900,83.6269762146797,85.14436899151956,113.61571708393353,-16.452229335750832,56.56480550841815,1.1879387227909488
2024-02-28,459.17193603515625,459.78388410918814,458.08620713534924,458.4612798572357,2800600,80.60053322565612,83.9674899725348,97.80916241085217,-20.481366252066266,49.66236378735244,2.475935143428809
2024-02-29,460.8695983886719,462.4093483717397,458.4415357417546,460.90908765327146,7332900,84.07000531272598,82.76583825102061,109.56753657346745,-10.856388474005062,52.05892296886897,1.8852561431612402
2024-03-01,465.31121826171875,465.6468017261701,461.36313497901824,461.7579372829913,4833700,89.00842916106897,84.55965589981703,147.09777366408034,-1.636957790721895,52.70458326488521,2.1760354447687646
2024-03-04,464.75848388671875,466.46604073139116,464.4919991118097,464.50184883729804,3970200,93.16578424810126,88.74807290729875,141.64352458555715,-8.009300990969374,52.35892439601536,2.5793552965634126
2024-03-05,460.0997009277344,463.28778868545487,458.03683124502646,462.8633770065565,4616500,85.46870487452095,89.21430609456372,66.49014914322059,-33.94762659474597,55.02763777167201,2.1116624612718127
2024-03-06,462.5376892089844,464.5512201043078,461.2545741989019,463.15951714147286,5325100,79.03189372572584,85.88879428278267,89.75869636865423,-20.947391237107276,54.91736930582819,2.549405459212073
2024-03-07,467.1174621582031,468.03538425086373,464.66963978962445,465.5086134736461,7149800,80.19608750948161,81.56556203657613,129.60140040913842,-4.516719639702035,56.019895606209694,1.4338641017942022
2024-03-08,464.28472900390625,470.1179954304477,463.7221199182246,467.62083400897495,6281900,82.83358799516215,80.68718974345653,111.31832441301225,-26.035125137704377,55.26183757081052,0.7733826590514248
2024-03-11,463.8998107910156,464.3538319590502,461.32370076812805,463.11020614039154,5323900,80.5650190501376,81.19823151826044,66.36728246306654,-27.753098072180926,55.127077778792625,1.0600654796578457
2024-03-12,468.864501953125,469.3777419391109,463.4753766750751,465.7948816413785,4811000,79.04250574961488,80.81370426497152,114.44327461595691,-9.08425954127018,61.67330034522263,1.9530860915603077
