Price,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,
Date,,,,,,,,,,,
2024-01-02,184.7349853515625,187.52133810124718,182.9935167810597,186.23761848029775,82488700,,,,,,
2024-01-03,183.35174560546875,184.973803899141,182.53573597559208,183.32189307602442,58414500,,,,,,
2024-01-04,181.02317810058594,182.19741821935423,179.99820064627082,181.261998363711,71983600,,,,,,
2024-01-05,180.2967071533203,181.8690061871609,179.29163655398915,181.10277101042314,62303300,,,,,,
2024-01-08,184.65536499023438,184.6951784875532,180.6151605231867,181.20228054123743,59144500,,,,,,
2024-01-09,184.23741149902344,184.24735728099782,181.83915700040632,183.02335798455337,42841800,,,,,,
2024-01-10,185.2823028564453,185.49127057687537,183.02336513916433,183.45127673118873,46792900,,,,,,
2024-01-11,184.68521118164062,186.13810009590225,182.7248140769861,185.63057672110963,49128400,,,,,,
2024-01-12,185.01361083984375,185.8296205077815,184.2871739488164,185.1529277118819,40444700,,,,,,
2024-01-16,182.73477172851562,183.361690026594,180.04792262326768,181.27193705900044,65603000,,,,,,
2024-01-17,181.78939819335938,182.03817940296344,179.42101140332082,180.38628371133655,47317400,,,,,,-1.594493405024222
2024-01-18,187.7104034423828,188.21791164443712,184.9240508532924,185.18277784532793,78005800,,,,,,2.377210984559097
2024-01-19,190.62611389160156,191.01421197583775,187.89948151982946,188.4069897270921,68741000,,,,,,5.304810075580346
2024-01-22,192.9447479248047,194.37773007418247,191.3226896328841,191.36250312836654,60133900,,,,-9.498695917930489,,7.015125773056274
2024-01-23,194.22845458984375,194.79568302432682,192.8850451968675,194.06924615918857,42355600,,,,-3.658583167744569,56.02297815382594,5.18430081905048
2024-01-24,193.55177307128906,195.42261254918643,193.39254945946814,194.4672860626603,53631300,,,,-11.597807091488907,63.24810671782507,5.0556298508975805
2024-01-25,193.22340393066406,195.31317233681816,192.1685739447696,194.2682881337411,54822100,,,,-13.633450444518298,64.31125401593664,4.285946877706626
2024-01-26,191.48193359375,193.81052224173547,191.0042778879994,193.3229207532571,44594000,83.38065447803477,88.49967072813206,,-24.626779029888475,65.52912116768739,3.6801660342065556
2024-01-29,190.79527282714844,191.26298269587747,188.65576059016195,191.07390655519137,47145600,77.60726371060083,83.78599042912833,,-28.917979393790667,58.6399665504472,3.124992783536107
2024-01-30,187.12326049804688,190.86493945980703,186.55604725857967,190.00913152540437,55859400,64.86316051571698,75.28369290145086,22.552417828445645,-51.865760029169856,52.020090557584574,2.4015619621924555
2024-01-31,183.5010223388672,186.18787167030365,183.45127824224116,186.12815142243116,55467800,48.23792578216061,63.56945000282613,-39.016085725610125,-74.5024832305576,45.438521380007984,0.9415423355366714
2024-02-01,185.94903564453125,186.03859323945602,182.9238626911125,183.09303209854838,64885400,38.14260857308801,50.41456495698852,-30.951323901714957,-59.20393102100847,52.708004797469854,-0.938343195449054
2024-02-02,184.9439697265625,186.4167503347965,178.37613927772276,178.98316607734097,102518000,34.940851673708345,40.4404620096523,-62.815053390980154,-61.471030727308865,44.203380531997425,-2.9807795212518418
2024-02-05,186.76502990722656,188.3273832549743,184.9340037750539,187.23273981487074,69668800,42.84564070570331,38.64303365083321,-10.563335812465674,-50.788116134572704,52.08222807153439,-3.202843344555051
2024-02-06,188.37713623046875,188.38708201253658,185.8594715869018,185.94902917871246,43490800,48.80328740856433,42.196593262658645,1.3469243357375926,-41.330990912425406,57.35709133658058,-3.0125958483947946
2024-02-07,188.48660278320312,190.118606941087,187.69049986083044,189.71060210551596,53439000,55.73068914581224,49.12653908669328,20.14857686941538,-40.688825515565135,56.11379462575735,-2.6169588672382393
2024-02-08,187.40191650390625,188.6159548348253,186.4366441977198,188.46669218310572,40962000,56.97608183699108,53.83668613045587,-8.056206555576992,-47.05193806103619,49.37001104682036,-3.012827280926478
2024-02-09,188.1691436767578,189.30503301755343,187.3222021069975,187.96985257532495,45155200,56.56936515059565,56.42537871113297,4.210684669938892,-42.55114097161169,48.293850181134104,-1.7300796241282113
2024-02-12,186.4752655029297,187.9897897322466,186.1165627960856,187.7406910525987,41781900,52.636318417618384,55.39392180173502,-28.520581673583756,-52.48796571449695,42.776110693442774,-2.2642108791303572
2024-02-13,184.37286376953125,185.53865891732192,182.84838113476025,185.10024282819998,56529500,46.78896161752721,51.998215061913726,-91.25566291648708,-64.59400846130971,35.61086341942127,-1.4698315544498186
2024-02-14,183.48606872558594,184.8610982078661,181.78224238811126,184.6518638454696,54630500,38.67515607096734,46.03347870203763,-117.45984303629933,-66.89255761129128,35.756983764465964,-0.008149062654072559
2024-02-15,183.19712829589844,183.82486181575325,180.69618309757163,182.88824837462906,65434500,35.3078653576519,40.2573276820488,-123.08740901256408,-62.58983785444329,34.94097336113491,-1.4799255823479962
2024-02-16,181.65269470214844,184.18354546694673,181.0150027746939,182.75869330174024,49701400,32.251184986359725,35.41140213832631,-114.61033027839122,-73.76404957518625,34.9195490379833,-1.7796065636961123
2024-02-20,180.90541076660156,181.77226924950583,179.3510375405212,181.134577279735,53665600,28.395211759595657,31.984754034535744,-133.46032236740993,-78.46047729158349,35.112782811188694,-3.1374284273323005
2024-02-21,181.66268920898438,182.23062628266825,180.00867035619171,181.28405435734408,41529700,25.254684307703595,28.633693684552977,-109.8061133077349,-72.01142021011948,40.971227620487454,-3.564364102695361
2024-02-22,183.70529174804688,184.29317619439553,181.80218936609842,182.81850104532418,52292200,31.63722824983418,28.429041439044465,-61.404047081224455,-54.6164177487945,39.96781083773697,-2.5366848171462397
2024-02-23,181.86195373535156,184.37285727847149,181.57299077597804,184.3429666556088,45119700,32.23046996026428,29.707460839267338,-70.24318167661993,-76.6807521602932,43.16795724936616,-2.9561932299871696
2024-02-26,180.50686645507812,182.10108884357552,179.99869543060538,181.5829745492965,40867400,26.47906104757887,30.11558641922576,-107.37934197455118,-89.2656469481757,34.77690525752979,-4.07201577897498
2024-02-27,181.9715576171875,183.25690001064538,178.9126187804792,180.4470750372319,54318900,20.450320020389956,26.386617009411015,-88.27722665623945,-72.70264083036125,35.64244442734991,-2.4151770872107625
2024-02-28,180.7659149169922,182.45978277503792,179.48057251285755,181.8519814326113,48953900,18.62162496470406,21.850335344224277,-94.50427714366737,-82.16683732735088,28.01978170277345,-1.9563339087946274
2024-02-29,180.09832763671875,181.91177314365308,178.88272498353265,180.6164570963822,136682600,18.931330237757354,19.33442507428377,-100.41648714383955,-88.33653112901582,24.708354749785062,-1.8463206021018141
2024-03-01,179.0122833251953,179.87914188711767,176.74050452556773,178.90267929522304,73488000,16.563834666328443,18.03892995626327,-134.04123521920988,-79.80512754464797,18.20009290491224,-2.284339830886317
2024-03-04,174.4687042236328,176.26220237846417,173.16341449891394,175.51490641269265,81510100,14.135309585475298,16.54349149652035,-199.8456052676439,-89.45241256991032,17.443434696187133,-3.9547943344826475
2024-03-05,169.5066680908203,171.4197441647657,169.00847072144566,170.14436011546877,95132400,11.295046661880741,13.998063637894811,-256.0446197149458,-96.85731989979949,16.817383812305607,-6.300940711213743
2024-03-06,168.51025390625,170.6226208472031,168.0718378391885,170.44326190896186,68587700,5.459922815275969,10.296759687543988,-227.454224360677,-97.3104990844623,16.65348267028547,-7.240031158849492
2024-03-07,168.3907012939453,170.1144598371159,167.8825454793763,168.5401544147667,71765100,2.971240864858491,6.575403447338385,-188.63007664928006,-96.91845842116277,16.636314062383182,-8.336499350876425
2024-03-08,170.1144561767578,173.0737495355564,168.33091642363513,168.39069767067738,76114600,6.43524035516198,4.955468011765464,-131.7860430016703,-86.46532142888903,24.06151660217636,-6.4595685448804225
2024-03-11,172.12718200683594,173.75131021022753,171.42970876738985,172.31649942978052,60139500,14.118801238177996,7.841760819399473,-88.99229225367577,-74.25981643541425,30.18588710564036,-4.6423078594229565
2024-03-12,172.60543823242188,173.40255698056936,170.39344092810595,172.52572483722957,59825400,22.63842372889771,14.39748844074588,-80.70526079037406,-71.35959094900362,25.24919216231558,-5.14702380273574
2024-03-13,170.5130157470703,172.5655862263849,170.1443394000517,172.14710231151471,52488700,23.44406762285644,20.067097529977364,-83.38316424279022,-84.04838974701283,19.663577604977764,-5.671920602194291
2024-03-14,172.37628173828125,173.68155635236576,171.4297098215142,172.286609864896,72913500,24.606933093826807,23.563141481860303,-57.26955948659903,-70.77122002250314,26.433473263032447,-4.287683289327293
2024-03-15,171.99765014648438,171.99765014648438,169.6760486454164,170.5528808562992,121664700,23.982140772710324,24.011047163131177,-66.80863884711778,-73.23396791235307,24.529770413476317,-3.9185205888738306
2024-03-18,173.09368896484375,177.06930930187292,172.89441306506424,174.93702524630143,75604200,30.581103589140316,26.39005915189247,-20.736692580024883,-64.25150129772284,25.852585877737326,-0.7881157052823551
2024-03-19,175.44515991210938,175.97324782453558,172.4061533947111,173.71142786519002,55215200,38.806888664525104,31.123377675458567,-13.565811135429701,-46.09386479634879,30.80079846727558,3.5033971749756088
2024-03-20,178.0258331298828,178.0258331298828,174.45873840154812,175.08647190626633,53423100,58.068670842764654,42.48555436547667,24.218924966908762,-15.44862137763441,38.8489788289854,5.646884390149198
2024-03-21,170.7521514892578,176.8500972709565,170.22406352502733,176.41168117904223,106181300,55.58273442749643,50.81943131159537,-37.8078052627954,-71.70931054352754,37.72981206915677,1.4023637749392748
2024-03-22,171.65887451171875,172.42610267352754,169.44687710249696,171.14074502028382,71106600,50.02396695841596,54.558457409559,-58.067907122266774,-62.770167203590226,38.165292509820844,0.907870130305799
