Price,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,,,,,,
Date,,,,,,,,,,,
2024-01-02,149.92999267578125,152.3800048828125,148.38999938964844,151.5399932861328,47339400,,,,,,
2024-01-03,148.47000122070312,151.0500030517578,148.3300018310547,149.1999969482422,49425500,,,,,,
2024-01-04,144.57000732421875,147.3800048828125,144.0500030517578,145.58999633789062,56039800,,,,,,
2024-01-05,145.24000549316406,146.58999633789062,144.52999877929688,144.69000244140625,45124800,,,,,,
2024-01-08,149.10000610351562,149.39999389648438,146.14999389648438,146.74000549316406,46757100,,,,,,
2024-01-09,151.3699951171875,151.7100067138672,148.2100067138672,148.3300018310547,43812600,,,,,,
2024-01-10,153.72999572753906,154.4199981689453,151.8800048828125,152.05999755859375,44421800,,,,,,
2024-01-11,155.17999267578125,157.1699981689453,153.1199951171875,155.0399932861328,49072700,,,,,,
2024-01-12,154.6199951171875,156.1999969482422,154.00999450683594,155.38999938964844,40460300,,,,,,
2024-01-16,153.16000366210938,154.99000549316406,152.14999389648438,153.52999877929688,41384600,,,,,,
2024-01-17,151.7100067138672,152.14999389648438,149.91000366210938,151.49000549316406,34953400,,,,,,1.1872301240854144
2024-01-18,153.5,153.77999877929688,151.82000732421875,152.77000427246094,37850200,,,,,,3.387888959345875
2024-01-19,155.33999633789062,155.75999450683594,152.74000549316406,153.8300018310547,51033700,,,,,,7.449670379775686
2024-01-22,154.77999877929688,157.0500030517578,153.89999389648438,156.88999938964844,43687500,,,,-18.2164655421059,,6.568433575680244
2024-01-23,156.02000427246094,156.2100067138672,153.92999267578125,154.85000610351562,37986000,,,,-8.765200643846706,64.55316858125747,4.641178997766748
2024-01-24,156.8699951171875,158.50999450683594,156.47999572753906,157.8000030517578,48547300,,,,-11.341634569725109,72.45223435479377,3.63348099188483
2024-01-25,157.75,158.50999450683594,154.5500030517578,156.9499969482422,43638600,,,,-5.436299993560309,73.45895658477903,2.61497715747403
2024-01-26,159.1199951171875,160.72000122070312,157.91000366210938,158.4199981689453,51047400,90.74685343153317,89.81934714797664,,-10.981505142115074,73.89716127699988,2.5389886759681346
2024-01-29,161.25999450683594,161.2899932861328,158.89999389648438,159.33999633789062,45270400,94.45094872110207,92.22780791675262,,-0.22934870101842023,73.98903494807323,4.294398913035757
