Price,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,APD,APD,APD,APD,APD,,,,,,
Date,,,,,,,,,,,
2024-01-02,268.0139465332031,269.38600887146436,266.89667654501596,266.89667654501596,1109200,,,,,,
2024-01-03,265.4560241699219,267.6121436603878,264.4073946033353,266.5732942446319,1117600,,,,,,
2024-01-04,264.8581848144531,267.83754150281,264.7405837453509,265.44622006867974,956800,,,,,,
2024-01-05,264.76019287109375,267.55333809670395,263.06472748920305,265.54424990232195,777400,,,,,,
2024-01-08,267.3965148925781,267.49452575574696,261.5750225431998,263.2117172228426,912200,,,,,,
2024-01-09,262.7413024902344,265.60305839971244,261.27122915993885,265.60305839971244,831600,,,,,,
2024-01-10,261.6338195800781,261.9768426422232,258.5858821646909,261.9768426422232,922000,,,,,,
2024-01-11,259.3111267089844,262.7217075408915,257.7626626555057,262.05528148793707,1046200,,,,,,
2024-01-12,258.86029052734375,262.3198615441821,258.15465420535924,260.6537666451668,1201600,,,,,,
2024-01-16,255.25372314453125,258.723074378852,254.81268921893516,257.2922114984477,1435200,,,,,,
2024-01-17,254.94992065429688,255.0381214612177,251.87255292771178,252.9114023097357,1201300,,,,,,-4.874382862493243
2024-01-18,254.84210205078125,255.2635158794816,251.87255522252198,254.06785508246568,1157300,,,,,,-3.9983730459047795
2024-01-19,255.43994140625,255.7927446288644,252.10775145729139,254.96950720071405,2509600,,,,,,-3.5559570925856376
2024-01-22,255.72413635253906,257.56663295504023,252.61739828215067,253.32303464249756,1501100,,,,-78.00786185663587,,-3.412921111956646
2024-01-23,257.9880676269531,258.73291437549096,255.23413255982067,257.11583964238804,1539800,,,,-61.694211865706094,44.132464886515585,-3.5185377301587772
2024-01-24,252.02935791015625,259.2033224440987,251.98033752397114,257.97826142021717,1768600,,,,-99.0178196388499,42.65982422906922,-4.076993026429965
2024-01-25,258.3898620605469,258.46828271401114,253.20539549553664,253.95024215986697,1936400,,,,-58.437609707690605,50.81797811368759,-1.239884631404986
2024-01-26,256.6747741699219,260.85960167823384,256.0573386418945,260.85960167823384,873200,24.428247391290327,23.93502306671472,,-69.25982847958849,55.267764466222104,-1.0166754402410105
2024-01-29,255.920166015625,256.99822575355614,254.57750385013176,256.6747928778178,1192400,33.92718090994218,28.435182632383434,,-70.52101908289436,49.62238321119531,-1.135795878822976
2024-01-30,254.1070556640625,257.03739205135963,253.97964453266414,254.744081412338,2053700,26.938417488591284,28.431281929941264,-69.0217971434589,-79.40389997174329,46.718572482462875,-0.44922654460929357
2024-01-31,250.60829162597656,256.03775553667396,250.3240690922799,255.90053434498708,1941500,17.455878254726162,26.107158884419874,-107.30040086554924,-97.70744618118385,44.58371805370866,-1.7029340574721719
2024-02-01,254.38148498535156,255.00873062494654,251.0395147143854,252.67620950436995,1517100,18.90410417063099,21.09946663798281,-82.93965184079097,-66.17634133517987,50.58372558987993,-0.18074606264937287
2024-02-02,253.0192108154297,254.81268695222002,250.40246737035469,251.98033157568295,1934600,20.565886616375206,18.97528968057745,-93.07890169029598,-74.41855263451063,49.02807903374003,-0.9476711345507205
2024-02-05,213.67025756835938,223.49033642088435,212.7000038091947,222.4710921819949,7998200,20.473256454143645,19.981082413716614,-550.4983645770269,-97.98533666787854,39.62229100815382,-16.445017425419937
2024-02-06,213.69964599609375,215.59113302116666,208.00556480309814,214.34648179969344,4983100,12.789776597464503,17.942973222661116,-351.9017820490897,-89.2267809052173,35.827528290172886,-17.1668488539942
2024-02-07,211.08291625976562,215.23831361929194,208.81900591448445,213.9838523461114,3469400,6.203413609553892,13.155482220387347,-233.81198515254633,-94.17764159824247,30.389529712236502,-16.24669522230313
2024-02-08,215.5225372314453,216.35556974669387,209.53443840874704,209.75984544765453,3243700,10.272570801287191,9.755253669435195,-165.86346175760312,-85.77786509267865,30.846969494925037,-16.59017288343021
2024-02-09,215.45391845703125,215.5519293159786,212.18055914745125,215.11091035943048,2381700,11.378933761529224,9.284972724123435,-130.75293761612153,-85.90769202449121,31.88454741490343,-16.059566370009502
2024-02-12,218.14906311035156,218.92331005207964,214.74829251085401,215.98316359402585,1946400,15.835324271667714,12.495609611494709,-99.7722238431843,-80.808470067827,32.09794018017739,-14.758939669868509
2024-02-13,213.2684326171875,218.17847201288058,212.0237663801341,216.31638516416535,2769700,14.413733321996899,13.875997118397946,-94.87494720284283,-90.0426379416911,31.563788526433378,-16.071424282238322
2024-02-14,212.68040466308594,215.00313070602184,211.98457832422764,213.58204784917626,2117100,12.664567784904898,14.304541792856503,-86.81768443832237,-91.1551886357672,25.961781680009615,-15.13433043927236
2024-02-15,222.42208862304688,223.90197199131194,215.86555927332316,216.7280070665182,2429400,16.068184237240146,14.382161781380645,-54.699098949868585,-70.59762071082126,28.541850001067676,-12.56357016869567
2024-02-16,222.32408142089844,223.2943201846243,221.40283313482308,222.34367163021534,1694100,22.483228358893403,17.071993460346146,-44.20084525591783,-70.79750557673131,32.50069017035953,-12.1315410381714
2024-02-20,223.5393524169922,223.676558666294,220.7658122056288,221.932072801874,1927100,30.315080829110446,22.955497808414663,-38.61561789778042,-67.65963122511606,37.665619859211944,4.61884352129609
2024-02-21,223.5491485595703,225.28382425610044,222.42208340999545,224.43118654240396,1582700,31.537363508354673,28.11189089878617,-30.603574901761704,-66.9307726730886,42.28779423222092,4.609040187018665
2024-02-22,226.88131713867188,227.22434023056041,222.5691080214516,223.12772811027787,2181200,35.24542107253994,32.365955136668354,-20.027071651971138,-59.67333288417551,42.986421474342045,7.484452630673433
2024-02-23,228.14556884765625,228.64540333991192,225.06821600778525,226.58729474036733,1795400,56.99139891888691,41.25806116659384,-8.285087599938906,-2.4216976860751793,48.02193085395732,5.856942748709071
2024-02-26,224.78399658203125,227.302714257799,223.95094910837017,225.49942802904633,1657100,73.06548566708547,55.10076855283743,-11.171749523458143,-18.70851242849289,56.80028468984927,4.330428609429404
2024-02-27,227.10671997070312,229.24323427898665,225.0192260510452,225.41123961646068,2338100,89.46970144015148,73.17552867537461,6.028135131929666,-10.460685564977508,68.82567781055148,4.106209182214227
2024-02-28,227.7731475830078,229.88024654333685,225.16621415865384,226.39127517148657,1793600,86.82479135213556,83.11999281979082,20.40224138167126,-10.356427950122908,78.44066736677829,6.801154201689097
2024-02-29,229.37062072753906,232.90859758865957,228.78260040437354,229.22361938533726,1726300,87.42473326378372,87.90640868535691,55.59746581820618,-16.90868669354843,77.42588456630328,7.847557037938047
2024-03-01,231.29151916503906,231.7717484655184,227.77314752610835,229.0472139700077,1292400,88.33551659522978,87.528347070383,76.56991513139587,-7.728335570639297,71.73307364611532,3.987657249736465
2024-03-04,233.6534423828125,234.73148711043308,230.7034858686516,230.7034858686516,1861700,90.20789187592113,88.6560472449782,130.6527946487973,-4.739302108048831,71.78385874189475,5.095876654254838
2024-03-05,234.80010986328125,235.56454678486236,232.98701347362714,233.271236020119,2566600,94.76349037505275,91.10229961540121,131.50496780543185,-3.241891196153582,81.57245800502933,5.037483254976571
2024-03-06,238.24986267089844,239.0240946215629,235.89773664335192,237.24041363117203,2325400,96.22520828167877,93.73219684421754,150.5724618392511,-3.3431818507612148,89.16382453585808,6.576054619778948
2024-03-07,240.27857971191406,243.0521198090974,239.4063368156122,241.09202206870145,1993000,93.65662868311752,94.88177577994968,166.1367470429014,-12.445040903732632,89.06475374227294,5.904965090207792
2024-03-08,236.7895965576172,241.08221518475,236.60338488868007,240.64118125122178,1726700,85.37048649825806,91.75077448768478,123.98325455220915,-28.10031775073198,82.46209975870322,3.788821213412641
2024-03-11,242.99330139160156,244.36536372718706,237.58342783891408,238.3968701358533,1452000,84.4006245612846,87.80924658088672,143.12883684564133,-6.252767661681584,82.23695316429328,8.100801252070067
2024-03-12,239.98455810546875,243.2481225839734,239.06330978996573,242.59149164628394,1632600,81.84934127945256,83.87348411299841,117.51230341036025,-20.098890749228755,75.93925947101513,5.670390614785359
2024-03-13,242.3562774658203,244.13997357983092,240.07277676813436,240.57259630616863,1144500,87.93561117431553,84.72852567168422,118.8380150387452,-9.841508066143032,75.06578202698061,6.402479852238918
2024-03-14,240.24916076660156,242.46406565750607,239.82774696326697,241.72902906199502,1416100,83.2987943335312,84.36124892909976,94.4772301037952,-20.16321818403456,68.9499349246852,4.7427783055026485
2024-03-15,239.74935913085938,241.68985170038997,238.15187469217952,238.50469288249045,2369600,82.04506342905565,84.4264896456341,76.14610247460779,-23.86008346265547,66.72614472319144,3.6567877613295385
2024-03-18,240.70980834960938,243.9047623458278,239.69056408444177,239.69056408444177,1172400,78.97883469176102,81.44089748478261,84.1144746535285,-19.04019427802688,65.30276198664905,3.0200136984225967
2024-03-19,236.9954071044922,241.3370160941035,236.25056044849904,240.9939930336479,1156600,70.89385512517164,77.30591774866275,44.00679851322154,-44.4181568838027,59.62577834405902,0.9349643160257548
2024-03-20,234.1826629638672,235.72134679209074,232.89880140008532,235.01571044408936,2848600,58.390433733652685,69.42104118352843,-7.319232058095181,-61.37034763721233,50.21437395653736,-1.70711523668301
2024-03-21,230.79171752929688,234.79031877838096,230.71331182390003,234.4080853566866,2328600,31.61910643098342,53.63446509660256,-41.115135244691054,-99.35417618603468,48.240063146118516,-3.9482762857977693
2024-03-22,231.98736572265625,232.75180261566305,230.27228026576896,230.31147563915152,1153800,17.148390826358185,35.71931033033141,-52.036733898214734,-87.8303036976784,42.35838737364748,-2.028058202207561
2024-03-25,232.82040405273438,234.0454651238608,230.50748815227337,231.26212995930769,944200,10.298729739518189,19.688742332286576,-49.71173712359209,-81.91933089773232,38.44328617782265,-4.1864929117831124
2024-03-26,233.08502197265625,234.3688835854811,231.49734760618387,234.3688835854811,1097100,16.736226130856945,14.727782232244417,-49.47876823765719,-80.04168701201841,35.011375722871186,-2.874991702499574
2024-03-27,238.24986267089844,238.25965777505863,233.82003803022303,234.11405565296104,926600,31.548449364063732,19.527801744812933,4.894045582445118,-43.39363399805804,31.66909139014191,-1.6943711290915542
2024-03-28,239.17787170410156,240.34280393608515,237.70688340015283,238.64475537851968,1439900,46.585299813367925,31.623325102762845,41.29681972232373,-36.808779549819754,38.973921255015874,-0.44590751496557113
2024-04-01,240.3131866455078,241.5274837249126,238.4473096448464,239.82943517717393,851300,64.06753611417106,47.40042843053421,55.98112034085655,-27.594978109608995,37.133292025254995,0.235173731722349
2024-04-02,236.7788848876953,240.60936872499855,234.25156093633447,239.97753773715834,1227300,60.838466022905585,57.163767316814834,-9.769680764256902,-53.080844271854495,37.92946229103107,-1.6330549589424037
2024-04-03,236.5419464111328,238.2202459803593,235.8508685908293,237.0552987077651,1009000,55.10494015699488,60.003647431357145,-21.37675168343722,-54.009357147551874,32.35942042454725,-0.1913373338747637
2024-04-04,234.08372497558594,238.35846225008004,233.57035760690667,238.04253923426558,829600,40.289450483458964,52.07761888778645,-52.798759777888286,-72.04144713021674,33.391879486198334,-0.042248212155870934
2024-04-05,235.63369750976562,236.7295310780636,233.60987390355632,233.85668313007352,1588700,37.75915006645864,44.384513568970796,-47.476552559670985,-60.671745522855474,34.87620462180866,2.0979868915157684
2024-04-08,234.59710693359375,237.74639502216687,234.28118389813238,236.46298405267407,1013600,35.23731276552389,37.76197110514713,-38.85453663809068,-61.57486905035611,34.20998489009874,1.1249497156054167
2024-04-09,236.6011962890625,236.65056114629033,233.99489150625084,235.82127071136526,890800,44.6614694089179,39.219310746966784,-29.10096953343262,-43.76897720003471,39.65766229762178,1.6239093183051834
2024-04-10,232.8990478515625,233.80730394179355,231.68473568541506,232.5930068396849,1407400,39.331468107529396,39.743416760657034,-91.83680166625565,-76.661749427021,43.088582111368545,-0.07978810458081353
2024-04-11,233.23471069335938,235.18943547933466,231.9512997486939,233.4815199110243,1737600,35.29660475097949,39.76318075580891,-69.28173924095702,-73.67945912000584,55.31905903370272,-2.1049967967732397
2024-04-12,228.57493591308594,232.36592162322071,227.73577860448154,231.32933503075876,1520100,18.581099593405447,31.06972415063809,-156.7553401688726,-93.91549267275683,54.15292390565799,-4.433075566511036
2024-04-15,228.20968627929688,231.27011164240523,226.7288309237168,230.15454418474854,1307400,14.137246171764351,22.67165017204974,-155.30973126379067,-89.99330969194429,47.51043470736821,-5.036552731525767
2024-04-16,224.85305786132812,228.17017425522934,224.62599760544703,227.65682194315372,2590000,5.81154376965933,12.843296511609688,-196.74731100409448,-98.65656632632091,37.88674141238387,-5.036693635931099
2024-04-17,226.0871124267578,227.21256186720214,224.8530663269706,226.2450739429,1452500,6.665004538138784,8.871264826520802,-166.15536367920956,-91.35511036731847,39.42768404938157,-4.419864697571862
2024-04-18,230.0459442138672,230.54942960446814,225.56388029958458,227.97274072025954,1302000,14.018731124922738,8.83175981090693,-95.11433244339403,-67.93212993159243,38.780084480378065,-1.7249301557124008
2024-04-19,228.6835479736328,232.71147621108298,227.9529872667487,230.09530453109116,1797200,22.032944458754276,14.23889337393858,-68.29103547339575,-74.61392632482628,41.58429761524265,-2.949556710090151
2024-04-22,231.36883544921875,231.5860287676132,226.26482259502762,228.96984200114883,1591200,35.51846114048964,23.856712241388866,-65.33011492428739,-50.89856032211237,40.91549138863228,-1.3760917713656284
2024-04-23,230.7271270751953,232.18823337141274,229.12779316075705,230.49018481200926,1175200,39.63867455263136,32.39669338395841,-44.20697901017729,-55.57148969516728,46.45129892847708,-2.4826878756313064
2024-04-24,231.6847381591797,232.07964194004367,228.79214140154073,229.46345523295113,1297300,49.109898837087485,41.42234484340281,-37.812600877482176,-46.200253471457884,51.72102912612061,-0.5213888607894845
