Price,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,CHTR,CHTR,CHTR,CHTR,CHTR,,,,,,
Date,,,,,,,,,,,
2024-01-02,391.510009765625,393.5,385.05999755859375,386.8399963378906,948100,,,,,,
2024-01-03,386.6700134277344,392.82000732421875,384.92999267578125,391.6600036621094,771800,,,,,,
2024-01-04,375.75,386.0400085449219,372.4700012207031,385.5799865722656,1296300,,,,,,
2024-01-05,372.20001220703125,380.7099914550781,372.0400085449219,375.0400085449219,998300,,,,,,
2024-01-08,378.8699951171875,379.1700134277344,370.17999267578125,372.8399963378906,962200,,,,,,
2024-01-09,368.6099853515625,374.9700012207031,364.1000061035156,373.8800048828125,1592200,,,,,,
2024-01-10,367.0,370.30999755859375,364.989990234375,367.92999267578125,957700,,,,,,
2024-01-11,367.6199951171875,368.239990234375,361.5,368.239990234375,910000,,,,,,
2024-01-12,364.8999938964844,369.5799865722656,364.19000244140625,369.0899963378906,988900,,,,,,
2024-01-16,368.3399963378906,368.54998779296875,357.4100036621094,362.6700134277344,869600,,,,,,
2024-01-17,359.239990234375,367.3900146484375,358.07000732421875,362.45001220703125,936900,,,,,,-8.242450697638159
2024-01-18,364.54998779296875,367.4800109863281,358.5799865722656,358.5799865722656,1032700,,,,,,-5.7206467702724195
2024-01-19,371.1000061035156,372.2099914550781,360.8800048828125,364.17999267578125,1043500,,,,,,-1.2375233257443496
2024-01-22,373.1499938964844,377.79998779296875,370.3500061035156,371.1000061035156,1016000,,,,-56.38683338449193,,0.2552341908373501
2024-01-23,378.6400146484375,381.57000732421875,372.9599914550781,377.5,1020700,,,,-40.04516015047638,42.10121495741455,-0.060701684407304946
2024-01-24,371.3900146484375,383.989990234375,367.75,382.3900146484375,2227200,,,,-51.17007124675425,38.27316043829182,0.7541926174961189
2024-01-25,369.07000732421875,371.9599914550781,360.82000732421875,371.0799865722656,2066600,,,,-56.132394459989,36.59815803882926,0.564034693247617
2024-01-26,377.07000732421875,380.19000244140625,370.55999755859375,371.67999267578125,1041100,55.554324315449776,52.41258692304524,,-26.034561346907427,42.8489893928212,2.570592550064865
