Price,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,FICO,FICO,FICO,FICO,FICO,,,,,,
Date,,,,,,,,,,,
2024-01-02,1131.1600341796875,1158.010009765625,1119.8800048828125,1152.4000244140625,190800,,,,,,
2024-01-03,1122.3699951171875,1135.0,1116.1199951171875,1131.1600341796875,158600,,,,,,
2024-01-04,1117.4599609375,1132.9300537109375,1115.0999755859375,1124.0899658203125,127700,,,,,,
2024-01-05,1115.4599609375,1132.4000244140625,1113.18994140625,1115.52001953125,164600,,,,,,
2024-01-08,1152.4300537109375,1154.52001953125,1115.81005859375,1120.9200439453125,134200,,,,,,
2024-01-09,1159.6600341796875,1163.93994140625,1139.75,1144.8399658203125,110000,,,,,,
2024-01-10,1200.22998046875,1200.3399658203125,1165.77001953125,1168.3299560546875,141300,,,,,,
2024-01-11,1214.8399658203125,1215.68994140625,1190.5699462890625,1204.27001953125,105100,,,,,,
2024-01-12,1230.989990234375,1231.5,1215.77001953125,1221.1199951171875,117300,,,,,,
2024-01-16,1224.3900146484375,1254.4200439453125,1211.5899658203125,1230.0,214700,,,,,,
2024-01-17,1230.1600341796875,1231.22998046875,1204.68994140625,1220.0,162800,,,,,,8.752077248892043
2024-01-18,1250.4200439453125,1253.469970703125,1231.989990234375,1237.25,130900,,,,,,11.408898080419117
2024-01-19,1260.2099609375,1266.7099609375,1248.02001953125,1260.25,176000,,,,,,12.774506916582418
2024-01-22,1288.3199462890625,1297.449951171875,1264.52001953125,1272.0,248400,,,,-4.954957342304324,,15.496744966648613
2024-01-23,1281.510009765625,1291.47998046875,1263.3599853515625,1280.0,260500,,,,-8.650787236213263,61.89438646371435,11.200675966323281
2024-01-24,1275.550048828125,1307.1400146484375,1274.550048828125,1307.1400146484375,182000,,,,-16.287679242516077,69.0729281889455,9.993447323586956
2024-01-25,1284.27001953125,1292.1700439453125,1273.8900146484375,1286.9200439453125,219900,,,,-11.79169192095612,65.78425107682338,7.001994653531174
2024-01-26,1196.3599853515625,1275.9200439453125,1195.010009765625,1235.5,407100,71.34021227054848,83.04411717676957,,-57.899992024882366,59.40870747322467,-1.5211864104480277
2024-01-29,1222.3800048828125,1228.3599853515625,1199.0400390625,1200.0,198400,59.89069197579584,72.9958393710386,,-50.636240126774005,53.21822804808558,-0.6994358540578505
2024-01-30,1197.06005859375,1222.719970703125,1196.989990234375,1216.6199951171875,195200,37.86573500988838,56.36554641874424,-2.86504265317962,-77.86656281867847,47.83288902269566,-2.2321283028867933
2024-01-31,1198.8299560546875,1219.3399658203125,1187.8900146484375,1197.3399658203125,206100,26.890384037399837,41.5489370076947,-13.668068251378601,-90.82604494234802,41.95774857698467,-2.546829457509725
2024-02-01,1243.1700439453125,1243.6500244140625,1198.8299560546875,1198.8299560546875,159700,25.887936978854203,30.214685342047485,21.42257543287052,-53.64358130241091,43.08264753667321,-0.5798051650807601
2024-02-02,1255.300048828125,1257.5,1239.97998046875,1243.199951171875,121400,37.352901434748425,30.043740817000828,54.8030419224262,-43.47166945099581,43.21030501973783,-0.3896106412079492
2024-02-05,1256.1300048828125,1258.7900390625,1233.8699951171875,1256.1300048828125,100600,53.36968657189029,38.87017499516431,45.063029385787,-42.775689530922435,37.28398465275033,-2.4985983876886664
2024-02-06,1259.81005859375,1264.239990234375,1230.3900146484375,1259.81005859375,209000,58.02098346872816,49.58119049178896,40.90024346725922,-39.68969061189728,44.07061644959369,-1.6933110944520546
2024-02-07,1280.449951171875,1286.75,1261.9599609375,1263.6300048828125,168600,65.05100508822501,58.813891709614495,92.7200317993043,-22.381604592505244,44.89002887821075,0.3841403438658908
2024-02-08,1321.43994140625,1325.0,1283.22998046875,1283.22998046875,196700,78.44406879419135,67.17201911704818,161.36209513092916,-2.5964984130234465,45.444311593872385,2.8942450816197285
2024-02-09,1323.81005859375,1336.3900146484375,1317.4200439453125,1327.949951171875,118900,88.8501820386313,77.44841864034923,173.8747865670789,-8.471350878577441,42.88645577162883,10.653154134433462
2024-02-12,1298.3499755859375,1333.9300537109375,1295.02001953125,1333.9300537109375,159600,87.77198759584125,85.02207947622132,116.28779922429372,-25.61618792087542,44.49404853219004,6.214922560878122
2024-02-13,1269.47998046875,1289.8800048828125,1257.780029296875,1269.6800537109375,273000,73.61839970889451,83.4135231144557,30.47992188861817,-45.05726207386363,36.1926822097699,6.049815241523926
2024-02-14,1293.8399658203125,1297.77001953125,1279.4300537109375,1283.56005859375,155000,66.8911061570567,76.09383115393082,63.94947648521002,-28.653231534090907,43.063147680254026,7.9252282015291
2024-02-15,1302.699951171875,1307.489990234375,1283.219970703125,1299.6400146484375,143500,67.86753165333897,69.45901250643006,73.30949357696086,-22.68691143202862,53.62567628075578,4.788557085693523
2024-02-16,1282.06005859375,1304.22998046875,1280.5999755859375,1295.8800048828125,115300,70.691342680275,68.48332683022356,49.24624474493277,-36.58582899305555,55.317496536504116,2.1317620269836413
2024-02-20,1259.199951171875,1278.760009765625,1252.68994140625,1278.760009765625,153400,62.91580628331934,67.1582268723111,-4.293894715470996,-51.97984072495791,56.10955629282118,0.24439717840740727
2024-02-21,1246.56005859375,1259.3800048828125,1223.8800048828125,1248.9100341796875,151200,48.71065885051644,60.77260260470359,-44.942574029767556,-65.30235373043735,57.2906000094775,-1.0517458492743104
2024-02-22,1288.260009765625,1290.9200439453125,1267.3800048828125,1277.52001953125,146200,46.64646174058678,52.757642291474184,41.3163856152012,-42.77842032284454,57.15864460172768,0.6099464166172464
