Price,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
Ticker,IT,IT,,,,,,,,,,
Date,,,,,,,,,,,,
2020-01-02,156.0399932861328,769100,,,,,,,,,,
2020-01-03,155.97999572753906,447900,,,,,,,,,,
2020-01-06,158.86000061035156,473000,,,,,,,,,,
2020-01-07,156.5800018310547,477200,,,,,,,,,,
2020-01-08,158.64999389648438,556100,,,,,,,,,,
2020-01-09,161.16000366210938,382000,,,,,,,,,,
2020-01-10,159.38999938964844,335700,,,,,,,,,,
2020-01-13,160.92999267578125,330500,,,,,,,,,,
2020-01-14,158.8699951171875,257700,,,,,,,,,,
2020-01-15,158.85000610351562,438200,158.53099822998047,,,,,,,,,
2020-01-16,160.9199981689453,631800,159.0189987182617,,,,,,,,,
2020-01-17,161.1699981689453,369200,159.53799896240236,,,,,,,,,
2020-01-21,161.22999572753906,413200,159.7749984741211,,,,,,,,,
2020-01-22,160.92999267578125,474700,160.20999755859376,,,,,,,,,
2020-01-23,161.27000427246094,186000,160.4719985961914,,64.36027852959168,,,,,,2.684283665248326,
2020-01-24,160.57000732421875,217400,160.41299896240236,,61.80185410526238,,,,,,2.671834439647441,
2020-01-27,159.6300048828125,310500,160.43699951171874,,58.44216938276022,,,,,,2.8067043237713962,
2020-01-28,161.5500030517578,404900,160.4990005493164,,62.880828659455254,,,,,,2.7926540585271225,
2020-01-29,162.13999938964844,240500,160.8260009765625,,64.14802866292935,,,,,,2.7403214513890246,
2020-01-30,163.25,250500,161.26600036621093,159.89849929809571,66.46741209135565,,,163.79334012931463,159.89849929809571,156.0036584668768,2.763869352391929,
2020-01-31,160.77999877929688,386400,161.2520004272461,160.1354995727539,57.54600562109379,,,163.61729553432278,160.1354995727539,156.65370361118502,2.8185928828851394,
2020-02-03,163.85000610351562,623300,161.52000122070314,160.52900009155275,64.01167026213325,,,163.81676556322103,160.52900009155275,157.24123461988447,2.9379794979050624,
2020-02-04,154.0,2092700,160.79700164794923,160.28600006103517,41.94101175167853,,,164.5920031175625,160.28600006103517,155.97999700450782,3.463838323180259,
2020-02-05,154.30999755859375,1664700,160.13500213623047,160.1724998474121,42.611646960345624,,,164.95640721844214,160.1724998474121,155.38859247638206,3.350706273240486,
