Price,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,MCD,MCD,MCD,MCD,MCD,,,,,,
Date,,,,,,,,,,,
2024-01-02,290.0119934082031,290.24630543441987,288.0690568723986,288.0690568723986,4458400,,,,,,
2024-01-03,287.4246826171875,290.9394819946507,287.28798074590645,289.97291514540086,3114800,,,,,,
2024-01-04,284.8373718261719,290.2365298820539,284.036795811981,288.332685095171,4615400,,,,,,
2024-01-05,282.1524353027344,283.4607270872559,280.40480847613105,282.36723125515,3406900,,,,,,
2024-01-08,284.9935607910156,285.09120072297077,280.7171880128872,281.6837846050618,3097000,,,,,,
2024-01-09,283.98797607421875,283.98797607421875,280.7172315177361,282.7773241578185,2176400,,,,,,
2024-01-10,287.13177490234375,287.4246947264902,283.9879594812101,284.11488842545424,2199700,,,,,,
2024-01-11,287.1903991699219,287.97148903127356,283.77320923977874,287.48331904125314,2047400,,,,,,
2024-01-12,286.5264587402344,288.7525124201561,285.91135986365254,288.46936551916036,1714200,,,,,,
2024-01-16,284.2027587890625,287.28799624089356,283.11903587484966,286.5264523619656,2859000,,,,,,
2024-01-17,284.2711486816406,285.42322269304753,283.2655197063395,283.27529264059024,2008200,,,,,,-1.9795197636816475
2024-01-18,287.3953857421875,287.51257155316387,284.4175610992683,285.1791049952117,2221200,,,,,,-0.010192887657811678
2024-01-19,293.4194030761719,293.9563780556001,289.5042708879094,290.9492645388544,4240800,,,,,,3.0129583049366637
2024-01-22,291.3495788574219,295.2354221953939,290.69541804644496,293.8294904246466,3250200,,,,-26.201500568549335,,3.2596364248351994
2024-01-23,292.95074462890625,293.1069625721332,290.09984910271083,290.4025120566112,1874000,,,,-15.405145125721694,48.57599768940236,2.79205741203592
2024-01-24,293.3315124511719,294.89366198672474,292.2282437830216,292.90192058400675,3209700,,,,-12.837700315456948,56.81008378037389,3.290116893720607
2024-01-25,290.177978515625,294.18097813618016,289.0844825753919,293.62445723231986,3219600,,,,-34.10137824033533,58.83158205910098,1.0609078755972945
2024-01-26,285.3450927734375,288.97707819043,284.79834484361305,288.3424334544485,4210500,61.64580678384576,74.23876118447726,,-68.12350109267047,57.526639705316995,-0.6425376342029332
2024-01-29,285.3939208984375,285.8332857825998,281.4885612011014,284.73978983463047,3899700,43.3292463995709,61.397881763192885,,-67.78738146828154,48.56340389212176,-0.39526466308775765
2024-01-30,287.6785583496094,287.942189203454,283.3338634790106,285.2279653527562,2524200,36.37251937381845,47.11585751907836,-23.70560107484943,-54.97155931759267,54.455911694501324,1.2229999368607913
2024-01-31,285.7942199707031,290.4025455429435,284.7495291148929,288.8989737370924,3476200,36.18736383159993,38.62970986832975,-5.3393624903043655,-68.678967719326,55.88253441385137,0.5357811709440163
2024-02-01,291.02734375,291.0761786155162,283.4119055088292,284.7983210837731,3380600,48.579425939071605,40.37976971482998,32.676413099964854,-30.611195145866517,57.29660536432155,1.263749589588259
2024-02-02,290.021728515625,291.1152541305896,286.4092890975186,289.0649345713798,3969400,54.261135547756034,46.34264177280917,44.380759058352716,-37.92643049153938,59.48513841442755,-1.1579583779825375
2024-02-05,279.2038879394531,284.54446772521595,276.6263366196838,280.2192896528949,7581900,48.43780377197635,50.42612175293465,-167.0018946442504,-86.14896304666505,53.96305225043962,-4.168768997573357
2024-02-06,277.9151611328125,277.9444501395255,274.87875818662275,276.2749171658252,5927200,30.280206972405466,44.32638209737927,-215.0556521490363,-85.08398554457916,50.157068954994465,-5.132461265848631
