Price,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
Ticker,QCOM,QCOM,,,,,,,,,,
Date,,,,,,,,,,,,
2020-01-02,79.38447570800781,8413900,,,,,,,,,,
2020-01-03,77.88971710205078,8340300,,,,,,,,,,
2020-01-06,77.43321228027344,8381400,,,,,,,,,,
2020-01-07,79.6351089477539,8377400,,,,,,,,,,
2020-01-08,79.40238952636719,7619900,,,,,,,,,,
2020-01-09,80.47647857666016,9155500,,,,,,,,,,
2020-01-10,80.78975677490234,9668300,,,,,,,,,,
2020-01-13,81.42524719238281,10367800,,,,,,,,,,
2020-01-14,81.05826568603516,7800100,,,,,,,,,,
2020-01-15,80.26165008544922,7259100,79.77563018798828,,,,,,,,,
2020-01-16,82.15922546386719,9295500,80.05310516357422,,,,,,,,,
2020-01-17,85.84693908691406,23694400,80.84882736206055,,,,,,,,,
2020-01-21,84.62068939208984,10868500,81.56757507324218,,,,,,,,,
2020-01-22,83.21542358398438,8342300,81.92560653686523,,,,,,,,,
2020-01-23,82.34719848632812,11282000,82.22008743286133,,58.89313218346055,,,,,,2.054201792569065,
2020-01-24,80.24375915527344,9471700,82.19681549072266,,51.842981914473604,,,,,,2.1900619406011193,
2020-01-27,77.91654205322266,9240200,81.90949401855468,,45.37143858010812,,,,,,2.2382196135001147,
2020-01-28,79.79621887207031,9187000,81.74659118652343,,50.72202865923501,,,,,,2.2375436948881764,
2020-01-29,78.97273254394531,8158500,81.53803787231445,,48.481670848073435,,,,,,2.1928019534445764,
2020-01-30,78.56995391845703,8379400,81.36886825561524,80.57224922180175,47.37935854926242,,,84.88553083995015,80.57224922180175,76.25896760365336,2.16659820788575,
2020-01-31,76.3591079711914,9503600,80.78885650634766,80.42098083496094,41.765955282068745,,,85.08797349335741,80.42098083496094,75.75398817656448,2.1870207659984096,
