Price,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
Ticker,SPOT,SPOT,,,,,,,,,,
Date,,,,,,,,,,,,
2020-01-02,151.6199951171875,662600,,,,,,,,,,
2020-01-03,152.5,1018400,,,,,,,,,,
2020-01-06,156.72000122070312,1311900,,,,,,,,,,
2020-01-07,156.02000427246094,876700,,,,,,,,,,
2020-01-08,158.77999877929688,974500,,,,,,,,,,
2020-01-09,157.74000549316406,1630600,,,,,,,,,,
2020-01-10,156.0399932861328,1046400,,,,,,,,,,
2020-01-13,150.8699951171875,1880900,,,,,,,,,,
2020-01-14,149.39999389648438,1048000,,,,,,,,,,
2020-01-15,152.4499969482422,1037400,154.21399841308593,,,,,,,,,
2020-01-16,151.83999633789062,701300,154.23599853515626,,,,,,,,,
2020-01-17,148.33999633789062,1314900,153.81999816894532,,,,,,,,,
2020-01-21,148.9499969482422,1743900,153.04299774169922,,,,,,,,,
2020-01-22,148.1199951171875,1718700,152.25299682617188,,,,,,,,,
2020-01-23,148.97000122070312,1102100,151.2719970703125,,45.16248178305457,,,,,,4.253215244838169,
2020-01-24,146.6300048828125,1164800,150.16099700927734,,41.35742543904469,,,,,,4.257272214305644,
2020-01-27,144.33999633789062,1003900,148.99099731445312,,37.98457436638178,,,,,,4.319610262056133,
2020-01-28,144.3000030517578,791400,148.33399810791016,,37.92640156478597,,,,,,4.192138362059937,
2020-01-29,141.57000732421875,1215200,147.5509994506836,,34.088608532383866,,,,,,4.1441287842314365,
2020-01-30,142.7100067138672,886600,146.5770004272461,150.395499420166,36.957415045318406,,,160.19011116218917,150.395499420166,140.60088767814284,4.0602625296937,
2020-01-31,141.3000030517578,1501100,145.52300109863282,149.87949981689454,34.93221817706135,,,160.42061596793766,149.87949981689454,139.3383836658514,3.9788150753545297,
2020-02-03,146.5,1894500,145.33900146484376,149.57949981689453,46.56225994412783,,,160.14670991560746,149.57949981689453,139.0122897181816,4.071042875147844,
2020-02-04,154.30999755859375,3152600,145.8750015258789,149.45899963378906,58.546467256188464,,,159.7490928214675,149.45899963378906,139.1689064461106,4.458825526922999,
2020-02-05,147.0,4159800,145.76300201416015,149.00799942016602,47.75194729317675,,,158.89093382784142,149.00799942016602,139.1250650124906,4.7796234855886555,
2020-02-06,154.3699951171875,2341700,146.3030014038086,148.78749923706056,56.46676374633643,,,157.9597245101017,148.78749923706056,139.61527396401942,5.077507304349622,
2020-02-07,154.5500030517578,2110600,147.09500122070312,148.62799911499025,56.65692280078491,,,157.26743032852596,148.62799911499025,139.98856790145453,5.02125630304842,
2020-02-10,148.3300018310547,1794700,147.49400177001954,148.24249954223632,48.73515808727748,,,156.18451194267388,148.24249954223632,140.30048714179875,5.137595792493064,
2020-02-11,145.77000427246094,1527900,147.64100189208983,147.9875,45.89114485342969,,,155.9031403325982,147.9875,140.0718596674018,5.196338339820569,18.136249251459553
2020-02-12,147.0800018310547,1224000,148.19200134277344,147.87150039672852,47.5770243209933,,,155.7689190273333,147.87150039672852,139.97408176612373,5.058743049294881,17.340436028948425
2020-02-13,141.5,1591000,148.0710006713867,147.3240005493164,41.6274424645285,,,155.3922639326004,147.3240005493164,139.2557371660324,5.110261315723595,17.202489493345645
2020-02-14,141.0,1288100,148.04100036621094,146.78200073242186,41.13110179998822,,,155.01860026214538,146.78200073242186,138.54540120269834,5.00309983676845,17.165311383455172
2020-02-18,144.6300048828125,1480200,147.8540008544922,146.59650115966798,46.15105021694777,,,154.8514801792094,146.59650115966798,138.34152214012656,4.94787920459414,16.93444744292393
2020-02-19,143.36000061035156,1051800,146.75900115966797,146.31700134277344,44.71442446101411,,,154.61274704152135,146.31700134277344,138.02125564402553,4.833030428401032,16.363543878750423
2020-02-20,147.86000061035156,1442600,146.84500122070312,146.30400161743165,50.584180811261895,-2.2999068844773376,-2.6929155742953537,154.58921330843114,146.30400161743165,138.01878992643216,4.916385397800958,15.31250286590841
2020-02-21,146.9499969482422,1170700,146.1030014038086,146.2030014038086,49.44101062779722,-2.010659187433646,-2.556464296923012,154.4045792891081,146.2030014038086,138.00142351850909,4.9080723730835905,14.336536211126537
