Price,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP,,,,,,
Date,,,,,,,,,,,
2024-01-02,13.4399995803833,14.079999923706055,12.479999542236328,13.119999885559082,112131,,,,,,
2024-01-03,12.479999542236328,13.760000228881836,12.15999984741211,13.4399995803833,78800,,,,,,
2024-01-04,12.15999984741211,12.479999542236328,11.84000015258789,12.479999542236328,57728,,,,,,
2024-01-05,11.84000015258789,12.15999984741211,11.84000015258789,12.15999984741211,36122,,,,,,
2024-01-08,11.520000457763672,12.15999984741211,10.5600004196167,11.84000015258789,77134,,,,,,
2024-01-09,10.239999771118164,11.520000457763672,9.920000076293945,11.520000457763672,156916,,,,,,
2024-01-10,9.920000076293945,10.239999771118164,9.600000381469727,9.920000076293945,86516,,,,,,
2024-01-11,8.960000038146973,10.239999771118164,8.960000038146973,10.239999771118164,64266,,,,,,
2024-01-12,9.600000381469727,9.600000381469727,8.960000038146973,8.960000038146973,54950,,,,,,
2024-01-16,9.920000076293945,9.920000076293945,9.600000381469727,9.920000076293945,40522,,,,,,
2024-01-17,9.279999732971191,9.920000076293945,8.960000038146973,9.920000076293945,27506,,,,,,-30.95238078343354
2024-01-18,8.640000343322754,9.600000381469727,8.640000343322754,9.600000381469727,35828,,,,,,-30.769225478877495
2024-01-19,8.960000038146973,8.960000038146973,8.319999694824219,8.640000343322754,30963,,,,,,-26.31578823536055
2024-01-22,9.600000381469727,9.600000381469727,8.960000038146973,9.279999732971191,26041,,,,-77.77776673988103,,-18.91891674197794
2024-01-23,9.279999732971191,9.920000076293945,9.279999732971191,9.600000381469727,18300,,,,-82.35294220769272,15.999902390620461,-19.444449963392817
2024-01-24,8.960000038146973,9.600000381469727,8.960000038146973,9.279999732971191,26769,,,,-84.61537579812915,17.614961499956124,-12.499997671693508
2024-01-25,9.920000076293945,9.920000076293945,8.960000038146973,9.600000381469727,35916,,,,-58.33332505491078,23.275709428740026,0.0
2024-01-26,9.600000381469727,9.920000076293945,9.600000381469727,9.920000076293945,18422,30.128216345712843,24.481880136744778,,-66.66665010982156,26.695125008207764,7.142860944173757
