Price,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
Ticker,URI,URI,,,,,,,,,,
Date,,,,,,,,,,,,
2020-01-02,165.11024475097656,861200,,,,,,,,,,
2020-01-03,162.23194885253906,1089000,,,,,,,,,,
2020-01-06,161.9088592529297,707500,,,,,,,,,,
2020-01-07,161.61517333984375,525200,,,,,,,,,,
2020-01-08,161.35084533691406,688700,,,,,,,,,,
2020-01-09,159.80401611328125,923200,,,,,,,,,,
2020-01-10,156.1229248046875,993400,,,,,,,,,,
2020-01-13,154.13551330566406,1537700,,,,,,,,,,
2020-01-14,151.10060119628906,1419800,,,,,,,,,,
2020-01-15,151.63905334472656,924700,158.50191802978514,,,,,,,,,
2020-01-16,154.34112548828125,891800,157.4250061035156,,,,,,,,,
2020-01-17,155.38865661621094,1119300,156.7406768798828,,,,,,,,,
2020-01-21,151.7369384765625,1146400,155.7234848022461,,,,,,,,,
2020-01-22,152.01107788085938,742200,154.76307525634766,,,,,,,,,
2020-01-23,151.8936004638672,1107200,153.81735076904297,,20.42069689961766,,,,,,3.8314320130885915,
2020-01-24,148.467041015625,1232300,152.68365325927735,,17.525889036063568,,,,,,3.9990135234684714,
2020-01-27,143.1999969482422,1521400,151.3913604736328,,14.194889544769365,,,,,,4.1056716602002075,
2020-01-28,147.34120178222656,872400,150.71192932128906,,26.08937895343855,,,,,,4.181635805513696,
2020-01-29,149.06423950195312,1298100,150.50829315185547,,30.411743204456453,,,,,,4.103923416467574,
2020-01-30,138.60841369628906,2641700,149.20522918701172,153.85357360839845,22.002810074432492,,,167.16489795587898,153.85357360839845,140.5422492609179,4.684203234932418,
2020-01-31,132.842041015625,2159300,147.0553207397461,152.24016342163085,18.899169899306063,,,167.39712081742144,152.24016342163085,137.08320602584027,4.7915712390725105,
2020-02-03,136.59164428710938,1729600,145.17561950683594,150.95814819335936,26.18998071478834,,,166.8379208717378,150.95814819335936,135.07837551498093,4.842318058724946,
2020-02-04,144.4335174560547,1548000,144.44527740478514,150.08438110351562,38.618209995970304,,,165.36979412761733,150.08438110351562,134.79896807941392,5.1824450739368535,
2020-02-05,151.1397705078125,1329100,144.35814666748047,149.56061096191405,46.858993750268056,,,163.91949135391957,149.56061096191405,135.20173056990853,5.354224515336931,
2020-02-06,149.4069061279297,770900,144.1094772338867,148.96341400146486,45.17142272810262,,,162.26580735699778,148.96341400146486,135.66102064593193,5.314433414728447,
2020-02-07,146.60690307617188,820000,143.9234634399414,148.30355834960938,42.50754816959058,,,160.66555369741067,148.30355834960938,135.94156300180808,5.18378158448266,
2020-02-10,147.58595275878906,537500,144.3620590209961,147.87670974731446,43.75652126985399,,,159.70737427924004,147.87670974731446,136.0460452153889,5.011411739746609,
2020-02-11,150.8166961669922,1061200,144.70960845947266,147.71076889038085,47.7874022548199,,,159.27574435201348,147.71076889038085,136.14579342874822,5.020583221626015,39.967855318987326
2020-02-12,155.53550720214844,1093700,145.3567352294922,147.93251419067383,53.07706269549735,,,159.91162462644593,147.93251419067383,135.95340375490173,5.08364307581008,37.62951459125515
2020-02-13,156.72012329101562,847400,147.16790618896485,148.1865676879883,54.32799075589693,,,160.67406713160855,148.1865676879883,135.69906824436802,4.950592888384128,35.49469202172119
2020-02-14,153.5677032470703,601800,149.24047241210937,148.14789657592775,50.47189432391704,,,160.56350240779847,148.14789657592775,135.73229074405702,5.031240993161274,33.08146328478929
2020-02-18,150.7481689453125,847900,150.6561248779297,147.9158721923828,47.24212397526426,,,159.94909657327793,147.9158721923828,135.8826478114877,5.045287632530702,31.239077808582323
2020-02-19,150.32716369628906,619500,151.24548950195313,147.84538345336915,46.76095214378348,,,159.80453769542905,147.84538345336915,135.88622921130926,4.917774865373309,29.528291294961573
2020-02-20,152.45164489746094,821800,151.37667694091797,147.8674118041992,49.5532030588223,-1.4895399785101233,-3.4982292313011323,159.85875685294485,147.8674118041992,135.87606675545356,5.025940706741705,27.46511162735553
2020-02-21,148.23207092285156,973000,151.25919342041016,147.68433532714843,44.55492642501376,-1.547523763239468,-3.1080881376887994,159.53519370627734,147.68433532714843,135.83347694801952,5.011000036960249,25.819023132126492
2020-02-24,138.9706573486328,1431300,150.49556884765624,147.20951614379882,35.977246520275884,-2.3141192784125053,-2.9492943658335404,159.64350755598716,147.20951614379882,134.7755247316105,5.490823344668262,26.06808786892621
2020-02-25,131.8140869140625,1736900,148.9183822631836,146.64022064208984,31.009285109244328,-3.459251078204261,-3.0512857083076845,160.69356018694378,146.64022064208984,132.5868810972359,5.852460327597918,27.016309733915783
2020-02-26,128.9553680419922,1450000,146.73224945068358,145.72092895507814,29.270554031434827,-4.545058397429017,-3.350040246131951,161.73868444470247,145.72092895507814,129.7031734654538,5.863094873867731,28.008379308120368
2020-02-27,126.91899871826172,1918300,143.87059860229493,144.61366691589356,28.06343187018236,-5.506412016407779,-3.781314600187117,162.50588156571197,144.61366691589356,126.72145226607515,6.367370313827538,29.602323916987878
2020-02-28,129.6994171142578,2540600,141.16852798461915,144.168217086792,32.17625771363455,-5.975058404059183,-4.220063360961531,163.0523903294041,144.168217086792,125.28404384417992,6.699963126595349,31.082415339507712
2020-03-02,132.94973754882812,1979100,139.10673141479492,144.17360191345216,36.73020246799537,-6.014854845141571,-4.579021657797538,163.04491047489748,144.17360191345216,125.30229335200683,6.836773076772407,32.3477830175374
2020-03-03,125.94001007080078,1508500,136.62591552734375,143.64102020263672,31.775100651894512,-6.536669578195301,-4.970551241877091,163.88916262888992,143.64102020263672,123.39287777638351,7.190381904926478,32.82912494576737
