Price,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,V,V,V,V,V,,,,,,
Date,,,,,,,,,,,
2024-01-02,257.3947448730469,258.6077935417639,256.201601648127,258.13051804559734,5471000,,,,,,
2024-01-03,256.5097961425781,257.38475557906304,255.39615347642825,257.0765246806474,4148300,,,,,,
2024-01-04,258.1304931640625,259.5523667936073,256.5296829632416,256.5992913224933,3843000,,,,,,
2024-01-05,258.2100524902344,259.96995449582073,257.2754070381391,259.2938370370977,3748400,,,,,,
2024-01-08,261.0438232421875,261.12335398018047,258.4685869954402,259.4529353893706,4659000,,,,,,
2024-01-09,261.82928466796875,262.1176404714718,259.6517932636562,260.506877609938,7055800,,,,,,
2024-01-10,263.05230712890625,263.8576886246846,261.361983053711,263.45997423748065,4355800,,,,,,
2024-01-11,262.5252990722656,264.6729929328653,260.90458354248483,263.9471422590863,5599000,,,,,,
2024-01-12,262.6645202636719,264.0366302163392,262.20711993578965,263.6190407701195,4656100,,,,,,
2024-01-16,263.7284240722656,264.14604390134076,260.8549095628136,262.01822490155394,6196400,,,,,,
2024-01-17,265.1105041503906,265.5778268758531,262.88327942154547,262.9131072404617,5118700,,,,,,2.9976366771393703
2024-01-18,266.6119079589844,267.2482448757836,264.9017088760736,266.35337996646473,6694300,,,,,,3.9382947428608484
2024-01-19,269.3561706542969,269.60474593735614,265.52810522645154,266.65167036086547,7224600,,,,,,4.348838199096283
2024-01-22,269.65447998046875,270.7979202171177,268.81924032454964,270.6885313135506,5984300,,,,-7.424084885197687,,4.432216089134333
2024-01-23,269.714111328125,270.3206204009589,268.3717988478893,270.0024367839018,5883000,,,,-7.0369127596861905,70.99687611262974,3.3213917794536307
2024-01-24,270.1018981933594,271.3049940746679,269.53513926195933,271.0166685919522,5021700,,,,-8.142609466802472,76.70848456935668,3.159544791134161
2024-01-25,271.0564270019531,271.2254715518239,269.2567443143143,270.4002149331135,6894900,,,,-1.7717347778489176,77.67768723849666,3.0427864178072195
2024-01-26,266.4130554199219,269.3263505382332,264.08639434517175,264.42445309856316,8586500,83.99192701618925,90.26899077028264,,-38.10987470678082,68.73747214380536,1.4809073111792026
2024-01-29,272.1004333496094,273.50240149384064,265.19002880378014,265.448556790899,6574500,83.33210711823692,87.22453837766011,,-10.122069160659473,69.50902747884668,3.5923820531472694
2024-01-30,275.5705261230469,277.05205530072146,272.62740355202396,273.025117897785,6549000,80.87373423998044,82.73258945813554,156.9466607281233,-9.146853412618313,69.4536725816288,4.4902638357768865
2024-01-31,271.70269775390625,278.39432398475805,271.62313668239926,275.54068500352105,6139300,80.85971368382381,81.68851834734706,124.00389701836073,-38.151936375250706,62.96001203055016,2.4865833304651197
2024-02-01,275.4710998535156,275.61031656854937,271.80212647043095,271.83198463250443,7065000,78.67820323833188,80.13721705404538,118.87567746112323,-16.66660049713533,69.85634986097719,3.322879297609682
2024-02-02,275.6003723144531,276.9128570522604,274.1089206606708,276.0279145060586,4848700,76.41730080248317,78.6517392415463,123.95055044207024,-15.929560720164437,69.99682417540207,2.3181951410240043
2024-02-05,274.00946044921875,276.4156822574903,273.5620431985225,275.8190955795697,4899100,79.711513325496,78.26900578877036,102.11107471293192,-28.269298806212202,70.83536534354506,1.6150224795321133
2024-02-06,275.18280029296875,275.30211157785095,272.46834718724534,273.23394816101495,4400000,77.78512648925177,77.97131353907697,89.09831865714114,-22.445761005868043,65.52073512974775,2.02758726190293
2024-02-07,277.79779052734375,277.9469296191197,275.481052041668,277.7878378066718,4785900,81.70522982753522,79.73395654742767,124.26090956007309,-4.169250705314094,64.83847140165024,2.8492551831216906
2024-02-08,274.71966552734375,278.58475236601527,274.2215879532931,278.46521861228194,5833400,82.24206604926341,80.5774741220168,95.51682435980213,-26.658790141027612,57.25249774037693,1.351467133950024
2024-02-09,275.3671569824219,276.1142733345141,273.0361576119231,273.9426624338241,4618300,82.32637768300732,82.09122451993532,70.13416792734745,-22.19282610463631,50.92421986109861,3.3609845239703118
2024-02-12,274.01239013671875,275.60624437376356,273.1855643811418,275.3671464780502,3676200,73.20375995956326,79.25740123061134,53.250884835196636,-31.53710387564631,52.271445280438925,0.702665836865024
2024-02-13,274.7495422363281,276.9311243892556,271.71128126913266,272.6974651135206,5493800,73.27244982761917,76.26752915672992,50.839037019818115,-26.452720536859868,52.59833944558928,-0.2979215151449721
2024-02-14,276.4928283691406,276.57253780740035,273.6537800359456,275.4070228747384,4218400,75.86049321179742,74.11223433299328,68.91889144918488,-14.42869595210157,51.031534803939216,1.7630044364053354
2024-02-15,279.8996887207031,280.03913463543506,276.4928246862005,276.5824750028659,4834800,86.05983241222243,78.39759181721301,137.65105367933666,-0.9390862743712799,60.03029711130045,1.6076419158098432
2024-02-16,277.4889831542969,280.03913797062955,276.8016336514325,279.87974949457833,6630100,84.7769844020811,82.23243667536698,117.09882799775728,-30.301264567283866,51.1161924923886,0.6852715125104769
2024-02-20,274.0920715332031,275.7755760955746,272.2890332220642,273.5143149474133,6157200,66.03194924767257,78.95625535399203,4.5316796090387905,-70.66380141532717,42.51654746259037,0.03014898969142532
2024-02-21,275.6959228515625,275.9051069314725,272.4783306118074,273.5741074117429,4771100,48.960692649852035,66.5898754332019,18.34844195385694,-52.1528560678329,49.895298899808935,0.18646607202466026
2024-02-22,282.6590270996094,282.96783276768116,277.9073779229387,278.1065907151098,5100200,58.146666948333404,57.71310294861934,218.96515394873416,-2.7433416718397603,48.59376188460399,1.7499190915224894
2024-02-23,282.5096130371094,284.85058377283184,282.40999143979803,283.62530196641285,5107700,75.76241656897402,60.95659205571982,232.95565383761834,-17.81655255340531,48.88569665350029,2.83559878933759
2024-02-26,283.0574645996094,284.25286287554457,281.57320323385335,281.95174703457417,3856900,88.59770557670363,74.16892969800368,185.5769806016885,-13.646989044644016,49.53128673739389,2.7927468553115897
2024-02-27,282.0812683105469,283.07742346446304,280.4575305456247,283.07742346446304,4145200,82.48662649257487,82.28224954608417,131.16936533277604,-21.076578924226023,49.63074871846761,2.9447128904653397
2024-02-28,284.53179931640625,285.029876889582,280.99543030671305,281.0153728657953,4358800,87.17890553947011,86.08774586958288,143.30251164176659,-3.739715412719654,49.393032634502404,3.560427071308392
2024-02-29,281.5533142089844,284.56169190359947,281.095060938755,284.4023034270297,6633700,83.0268776964662,84.23080324283707,102.20788686038645,-26.103072573655716,48.719729264619374,1.8302412650962552
